"","id","duration","start_date","start_station_name","start_station_id","end_date","end_station_name","end_station_id","bike_id","subscription_type","zip_code"
"38",157297,154,2014-01-17 15:23:00,"Yerba Buena Center of the Arts (3rd @ Howard)",68,2014-01-17 15:25:00,"Yerba Buena Center of the Arts (3rd @ Howard)",68,330,"Customer",NA
"39",157594,124,2014-01-17 17:36:00,"Washington at Kearney",46,2014-01-17 17:38:00,"Washington at Kearney",46,367,"Customer",97816
"40",157847,62,2014-01-17 21:29:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-01-17 21:30:00,"San Francisco Caltrain (Townsend at 4th)",70,383,"Subscriber",94002
"41",157986,95,2014-01-18 10:56:00,"Civic Center BART (7th at Market)",72,2014-01-18 10:58:00,"Civic Center BART (7th at Market)",72,556,"Customer",94704
"42",158111,111,2014-01-18 12:57:00,"Embarcadero at Vallejo",48,2014-01-18 12:58:00,"Embarcadero at Vallejo",48,350,"Customer",92882
"43",158872,97,2014-01-19 16:10:00,"San Jose Civic Center",3,2014-01-19 16:11:00,"San Jose Civic Center",3,643,"Customer",NA
"44",159323,67,2014-01-20 11:56:00,"Market at 10th",67,2014-01-20 11:57:00,"Market at 10th",67,424,"Customer",94103
"45",159739,62,2014-01-20 18:38:00,"2nd at Folsom",62,2014-01-20 18:39:00,"2nd at Folsom",62,260,"Subscriber",94105
"46",160325,88,2014-01-21 10:05:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-01-21 10:07:00,"San Francisco Caltrain (Townsend at 4th)",70,284,"Subscriber",94301
"47",160479,60,2014-01-21 13:01:00,"2nd at Townsend",61,2014-01-21 13:02:00,"2nd at Townsend",61,320,"Subscriber",94115
"48",160856,71,2014-01-21 17:26:00,"Redwood City Caltrain Station",22,2014-01-21 17:27:00,"Redwood City Caltrain Station",22,215,"Subscriber",94043
"49",160925,101,2014-01-21 17:54:00,"Davis at Jackson",42,2014-01-21 17:56:00,"Davis at Jackson",42,627,"Subscriber",94111
"50",161966,85,2014-01-22 14:09:00,"Howard at 2nd",63,2014-01-22 14:10:00,"Howard at 2nd",63,329,"Subscriber",94117
"51",162375,118,2014-01-22 18:19:00,"2nd at South Park",64,2014-01-22 18:21:00,"2nd at South Park",64,292,"Subscriber",94608
"52",162797,83,2014-01-23 08:07:00,"2nd at South Park",64,2014-01-23 08:09:00,"2nd at South Park",64,520,"Subscriber",94107
"53",163324,111,2014-01-23 12:32:00,"Market at Sansome",77,2014-01-23 12:34:00,"Market at Sansome",77,529,"Subscriber",94115
"54",163932,170,2014-01-23 18:31:00,"San Francisco Caltrain 2 (330 Townsend)",69,2014-01-23 18:34:00,"San Francisco Caltrain 2 (330 Townsend)",69,627,"Subscriber",94102
"55",164656,135,2014-01-24 11:23:00,"California Ave Caltrain Station",36,2014-01-24 11:26:00,"California Ave Caltrain Station",36,165,"Customer",5401
"56",164657,82,2014-01-24 11:23:00,"California Ave Caltrain Station",36,2014-01-24 11:25:00,"California Ave Caltrain Station",36,298,"Customer",5401
"57",164720,131,2014-01-24 12:23:00,"South Van Ness at Market",66,2014-01-24 12:25:00,"South Van Ness at Market",66,574,"Subscriber",94117
"58",165284,176,2014-01-24 18:31:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-01-24 18:34:00,"San Francisco Caltrain (Townsend at 4th)",70,499,"Subscriber",94105
"59",165305,74,2014-01-24 18:44:00,"2nd at South Park",64,2014-01-24 18:45:00,"2nd at South Park",64,384,"Customer",94114
"60",165599,64,2014-01-25 10:39:00,"Broadway St at Battery St",82,2014-01-25 10:41:00,"Broadway St at Battery St",82,335,"Subscriber",94133
"61",165696,86,2014-01-25 12:19:00,"Washington at Kearney",46,2014-01-25 12:20:00,"Washington at Kearney",46,600,"Customer",57106
"62",166129,74,2014-01-26 09:36:00,"Yerba Buena Center of the Arts (3rd @ Howard)",68,2014-01-26 09:37:00,"Yerba Buena Center of the Arts (3rd @ Howard)",68,621,"Customer",60654
"63",169232,168,2014-01-28 21:30:00,"Harry Bridges Plaza (Ferry Building)",50,2014-01-28 21:33:00,"Harry Bridges Plaza (Ferry Building)",50,575,"Subscriber",94107
"64",169559,99,2014-01-29 08:46:00,"Temporary Transbay Terminal (Howard at Beale)",55,2014-01-29 08:48:00,"Temporary Transbay Terminal (Howard at Beale)",55,598,"Subscriber",94609
"65",169578,69,2014-01-29 08:51:00,"Santa Clara at Almaden",4,2014-01-29 08:52:00,"Santa Clara at Almaden",4,211,"Subscriber",95110
"66",169778,133,2014-01-29 10:48:00,"SJSU - San Salvador at 9th",16,2014-01-29 10:50:00,"SJSU - San Salvador at 9th",16,91,"Subscriber",95112
"67",169902,93,2014-01-29 12:52:00,"San Francisco Caltrain 2 (330 Townsend)",69,2014-01-29 12:54:00,"San Francisco Caltrain 2 (330 Townsend)",69,418,"Subscriber",94107
"68",170269,104,2014-01-29 17:32:00,"2nd at Townsend",61,2014-01-29 17:34:00,"2nd at Townsend",61,578,"Subscriber",94103
"69",170510,70,2014-01-29 19:32:00,"2nd at Folsom",62,2014-01-29 19:33:00,"2nd at Folsom",62,332,"Subscriber",94133
"70",170547,77,2014-01-29 20:12:00,"Spear at Folsom",49,2014-01-29 20:13:00,"Spear at Folsom",49,521,"Subscriber",94109
"71",171346,115,2014-01-30 15:15:00,"2nd at Folsom",62,2014-01-30 15:17:00,"2nd at Folsom",62,332,"Subscriber",94111
"72",171508,119,2014-01-30 17:04:00,"2nd at Townsend",61,2014-01-30 17:06:00,"2nd at Townsend",61,269,"Subscriber",94706
"73",171804,84,2014-01-30 21:02:00,"Market at 4th",76,2014-01-30 21:03:00,"Market at 4th",76,563,"Customer",94015
"74",171822,60,2014-01-30 21:51:00,"2nd at Townsend",61,2014-01-30 21:52:00,"2nd at Townsend",61,404,"Subscriber",94107
"75",172777,83,2014-01-31 18:23:00,"San Jose City Hall",10,2014-01-31 18:24:00,"San Jose City Hall",10,21,"Subscriber",95112
"76",172816,127,2014-01-31 18:58:00,"Mountain View Caltrain Station",28,2014-01-31 19:00:00,"Mountain View Caltrain Station",28,650,"Subscriber",95032
"77",172914,110,2014-02-01 02:23:00,"San Francisco City Hall",58,2014-02-01 02:24:00,"San Francisco City Hall",58,637,"Subscriber",94102
"78",173120,100,2014-02-01 12:24:00,"Market at 4th",76,2014-02-01 12:26:00,"Market at 4th",76,265,"Customer",91506
"79",173131,72,2014-02-01 12:43:00,"South Van Ness at Market",66,2014-02-01 12:44:00,"South Van Ness at Market",66,514,"Subscriber",94102
"80",174470,62,2014-02-03 16:11:00,"Civic Center BART (7th at Market)",72,2014-02-03 16:12:00,"Civic Center BART (7th at Market)",72,443,"Customer",95818
"81",175373,64,2014-02-04 09:35:00,"San Francisco City Hall",58,2014-02-04 09:36:00,"San Francisco City Hall",58,451,"Subscriber",94117
"82",175484,173,2014-02-04 10:54:00,"Steuart at Market",74,2014-02-04 10:57:00,"Steuart at Market",74,270,"Customer",91206
"83",175725,77,2014-02-04 15:46:00,"2nd at Townsend",61,2014-02-04 15:47:00,"2nd at Townsend",61,399,"Subscriber",94501
"84",176175,114,2014-02-04 20:04:00,"Embarcadero at Sansome",60,2014-02-04 20:06:00,"Embarcadero at Sansome",60,453,"Customer",NA
"85",176920,71,2014-02-05 13:40:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-02-05 13:41:00,"San Francisco Caltrain (Townsend at 4th)",70,496,"Subscriber",94114
"86",177630,102,2014-02-06 10:55:00,"2nd at Folsom",62,2014-02-06 10:57:00,"2nd at Folsom",62,388,"Subscriber",94105
"87",178595,166,2014-02-07 16:31:00,"Powell Street BART",39,2014-02-07 16:34:00,"Powell Street BART",39,560,"Subscriber",94102
"88",178626,133,2014-02-07 17:02:00,"2nd at Folsom",62,2014-02-07 17:04:00,"2nd at Folsom",62,271,"Customer",94133
"89",178766,70,2014-02-07 20:21:00,"2nd at South Park",64,2014-02-07 20:22:00,"2nd at South Park",64,584,"Subscriber",94107
"90",178887,61,2014-02-08 14:28:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-02-08 14:29:00,"San Francisco Caltrain (Townsend at 4th)",70,615,"Customer",94117
"91",178901,152,2014-02-08 15:23:00,"Townsend at 7th",65,2014-02-08 15:26:00,"Townsend at 7th",65,637,"Subscriber",94107
"92",179528,130,2014-02-10 12:11:00,"Embarcadero at Sansome",60,2014-02-10 12:13:00,"Embarcadero at Sansome",60,561,"Subscriber",94111
"93",182355,72,2014-02-12 16:37:00,"Temporary Transbay Terminal (Howard at Beale)",55,2014-02-12 16:38:00,"Temporary Transbay Terminal (Howard at Beale)",55,361,"Subscriber",94061
"94",182906,92,2014-02-13 07:06:00,"Temporary Transbay Terminal (Howard at Beale)",55,2014-02-13 07:08:00,"Temporary Transbay Terminal (Howard at Beale)",55,456,"Subscriber",94611
"95",183794,77,2014-02-13 17:03:00,"San Francisco City Hall",58,2014-02-13 17:04:00,"San Francisco City Hall",58,624,"Subscriber",94707
"96",184113,103,2014-02-13 20:35:00,"Market at 4th",76,2014-02-13 20:37:00,"Market at 4th",76,379,"Subscriber",94114
"97",184316,96,2014-02-14 08:12:00,"Temporary Transbay Terminal (Howard at Beale)",55,2014-02-14 08:14:00,"Temporary Transbay Terminal (Howard at Beale)",55,531,"Subscriber",94501
"98",184703,110,2014-02-14 11:59:00,"Harry Bridges Plaza (Ferry Building)",50,2014-02-14 12:01:00,"Harry Bridges Plaza (Ferry Building)",50,493,"Subscriber",94103
"99",185232,119,2014-02-14 18:01:00,"Davis at Jackson",42,2014-02-14 18:03:00,"Davis at Jackson",42,561,"Subscriber",94111
"100",185480,80,2014-02-15 07:24:00,"San Pedro Square",6,2014-02-15 07:26:00,"San Pedro Square",6,107,"Subscriber",95112
"101",185714,74,2014-02-15 13:51:00,"Townsend at 7th",65,2014-02-15 13:53:00,"Townsend at 7th",65,623,"Subscriber",94107
"102",185761,75,2014-02-15 15:16:00,"Townsend at 7th",65,2014-02-15 15:17:00,"Townsend at 7th",65,470,"Subscriber",94107
"103",185802,88,2014-02-15 15:55:00,"2nd at Townsend",61,2014-02-15 15:56:00,"2nd at Townsend",61,609,"Subscriber",94107
"104",185899,131,2014-02-15 17:59:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-02-15 18:01:00,"San Francisco Caltrain (Townsend at 4th)",70,428,"Subscriber",94127
"105",186437,89,2014-02-16 17:12:00,"Embarcadero at Sansome",60,2014-02-16 17:14:00,"Embarcadero at Sansome",60,610,"Subscriber",94301
"106",186779,142,2014-02-17 11:54:00,"Embarcadero at Sansome",60,2014-02-17 11:56:00,"Embarcadero at Sansome",60,526,"Customer",63445
"107",186884,80,2014-02-17 14:33:00,"Market at 4th",76,2014-02-17 14:34:00,"Market at 4th",76,434,"Customer",91104
"108",186999,98,2014-02-17 16:43:00,"Market at 10th",67,2014-02-17 16:45:00,"Market at 10th",67,355,"Customer",94107
"109",187141,64,2014-02-17 19:22:00,"Market at 4th",76,2014-02-17 19:23:00,"Market at 4th",76,506,"Subscriber",94104
"110",188209,111,2014-02-18 17:21:00,"Yerba Buena Center of the Arts (3rd @ Howard)",68,2014-02-18 17:23:00,"Yerba Buena Center of the Arts (3rd @ Howard)",68,599,"Customer",NA
"111",188339,160,2014-02-18 18:13:00,"Townsend at 7th",65,2014-02-18 18:16:00,"Townsend at 7th",65,626,"Subscriber",94107
"112",189973,70,2014-02-20 06:57:00,"San Jose Diridon Caltrain Station",2,2014-02-20 06:58:00,"San Jose Diridon Caltrain Station",2,648,"Subscriber",95020
"113",190379,114,2014-02-20 10:15:00,"Steuart at Market",74,2014-02-20 10:17:00,"Steuart at Market",74,357,"Subscriber",94301
"114",191927,157,2014-02-21 15:36:00,"San Pedro Square",6,2014-02-21 15:39:00,"San Pedro Square",6,44,"Subscriber",95014
"115",192405,88,2014-02-21 22:42:00,"Clay at Battery",41,2014-02-21 22:44:00,"Clay at Battery",41,472,"Subscriber",94114
"116",192613,166,2014-02-22 11:57:00,"San Pedro Square",6,2014-02-22 12:00:00,"San Pedro Square",6,715,"Subscriber",94114
"117",192695,67,2014-02-22 13:27:00,"University and Emerson",35,2014-02-22 13:28:00,"University and Emerson",35,681,"Customer",94025
"118",192705,72,2014-02-22 13:42:00,"Harry Bridges Plaza (Ferry Building)",50,2014-02-22 13:44:00,"Harry Bridges Plaza (Ferry Building)",50,516,"Customer",90503
"119",192774,122,2014-02-22 14:46:00,"2nd at Townsend",61,2014-02-22 14:48:00,"2nd at Townsend",61,510,"Customer",94131
"120",192886,127,2014-02-22 16:31:00,"Embarcadero at Vallejo",48,2014-02-22 16:33:00,"Embarcadero at Vallejo",48,527,"Customer",94110
"121",193025,116,2014-02-22 22:28:00,"Market at 10th",67,2014-02-22 22:30:00,"Market at 10th",67,589,"Subscriber",94115
"122",193114,143,2014-02-23 10:42:00,"San Pedro Square",6,2014-02-23 10:44:00,"San Pedro Square",6,660,"Subscriber",95110
"123",193120,158,2014-02-23 10:49:00,"Powell at Post (Union Square)",71,2014-02-23 10:52:00,"Powell at Post (Union Square)",71,285,"Customer",10973
"124",193362,123,2014-02-23 16:23:00,"Palo Alto Caltrain Station",34,2014-02-23 16:26:00,"Palo Alto Caltrain Station",34,670,"Subscriber",94010
"125",193374,72,2014-02-23 17:01:00,"Market at 4th",76,2014-02-23 17:03:00,"Market at 4th",76,598,"Subscriber",94105
"126",193477,72,2014-02-23 22:56:00,"San Jose Diridon Caltrain Station",2,2014-02-23 22:57:00,"San Jose Diridon Caltrain Station",2,193,"Subscriber",95110
"127",193638,101,2014-02-24 08:03:00,"Market at 4th",76,2014-02-24 08:05:00,"Market at 4th",76,285,"Subscriber",94102
"128",194285,127,2014-02-24 15:59:00,"Market at Sansome",77,2014-02-24 16:01:00,"Market at Sansome",77,513,"Subscriber",94105
"129",196859,65,2014-02-27 06:30:00,"Harry Bridges Plaza (Ferry Building)",50,2014-02-27 06:31:00,"Harry Bridges Plaza (Ferry Building)",50,292,"Customer",22314
"130",196913,93,2014-02-27 07:36:00,"San Jose Diridon Caltrain Station",2,2014-02-27 07:37:00,"San Jose Diridon Caltrain Station",2,308,"Subscriber",94502
"131",197796,105,2014-02-27 18:21:00,"Embarcadero at Sansome",60,2014-02-27 18:23:00,"Embarcadero at Sansome",60,493,"Subscriber",94111
"132",197960,164,2014-02-27 20:20:00,"2nd at South Park",64,2014-02-27 20:23:00,"2nd at South Park",64,506,"Subscriber",94103
"133",432795,79,2014-08-31 17:38:00,"Washington at Kearny",46,2014-08-31 17:39:00,"Washington at Kearny",46,599,"Customer",NA
"134",432753,168,2014-08-31 16:58:00,"Embarcadero at Sansome",60,2014-08-31 17:00:00,"Embarcadero at Sansome",60,418,"Customer",98257
"135",432708,138,2014-08-31 16:05:00,"Market at Sansome",77,2014-08-31 16:07:00,"Market at Sansome",77,587,"Customer",NA
"136",432584,64,2014-08-31 13:18:00,"Davis at Jackson",42,2014-08-31 13:19:00,"Davis at Jackson",42,273,"Customer",60565
"137",432473,114,2014-08-31 11:37:00,"Powell Street BART",39,2014-08-31 11:39:00,"Powell Street BART",39,280,"Customer",80797
"138",432417,103,2014-08-31 10:33:00,"Powell Street BART",39,2014-08-31 10:35:00,"Powell Street BART",39,424,"Customer",95519
"139",432304,85,2014-08-30 22:44:00,"Market at 4th",76,2014-08-30 22:46:00,"Market at 4th",76,477,"Subscriber",94158
"140",432164,122,2014-08-30 17:30:00,"San Antonio Shopping Center",31,2014-08-30 17:32:00,"San Antonio Shopping Center",31,249,"Customer",94704
"141",431886,174,2014-08-30 11:54:00,"2nd at South Park",64,2014-08-30 11:57:00,"2nd at South Park",64,448,"Subscriber",94107
"142",431885,159,2014-08-30 11:52:00,"2nd at South Park",64,2014-08-30 11:54:00,"2nd at South Park",64,448,"Subscriber",94107
"143",431877,62,2014-08-30 11:47:00,"Mechanics Plaza (Market at Battery)",75,2014-08-30 11:48:00,"Mechanics Plaza (Market at Battery)",75,429,"Customer",94598
"144",431872,83,2014-08-30 11:34:00,"Embarcadero at Sansome",60,2014-08-30 11:35:00,"Embarcadero at Sansome",60,334,"Customer",30535
"145",431764,121,2014-08-30 09:40:00,"Harry Bridges Plaza (Ferry Building)",50,2014-08-30 09:42:00,"Harry Bridges Plaza (Ferry Building)",50,567,"Subscriber",94133
"146",431692,62,2014-08-29 23:35:00,"Commercial at Montgomery",45,2014-08-29 23:37:00,"Commercial at Montgomery",45,437,"Customer",94109
"147",429029,66,2014-08-28 12:11:00,"Civic Center BART (7th at Market)",72,2014-08-28 12:12:00,"Civic Center BART (7th at Market)",72,273,"Subscriber",94501
"148",427340,77,2014-08-27 15:10:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-08-27 15:12:00,"San Francisco Caltrain (Townsend at 4th)",70,454,"Customer",94949
"149",427006,95,2014-08-27 10:32:00,"San Francisco Caltrain 2 (330 Townsend)",69,2014-08-27 10:34:00,"San Francisco Caltrain 2 (330 Townsend)",69,607,"Subscriber",94107
"150",426408,120,2014-08-27 07:40:00,"2nd at Folsom",62,2014-08-27 07:42:00,"2nd at Folsom",62,527,"Subscriber",94107
"151",426231,68,2014-08-26 22:32:00,"Grant Avenue at Columbus Avenue",73,2014-08-26 22:33:00,"Grant Avenue at Columbus Avenue",73,281,"Customer",NA
"152",426115,99,2014-08-26 19:59:00,"Market at 4th",76,2014-08-26 20:00:00,"Market at 4th",76,877,"Subscriber",94109
"153",425916,78,2014-08-26 18:27:00,"South Van Ness at Market",66,2014-08-26 18:28:00,"South Van Ness at Market",66,541,"Customer",10011
"154",425355,139,2014-08-26 15:57:00,"South Van Ness at Market",66,2014-08-26 15:59:00,"South Van Ness at Market",66,592,"Subscriber",94703
"155",424820,179,2014-08-26 09:46:00,"San Salvador at 1st",8,2014-08-26 09:49:00,"San Salvador at 1st",8,199,"Subscriber",95112
"156",423272,75,2014-08-25 15:18:00,"Embarcadero at Folsom",51,2014-08-25 15:20:00,"Embarcadero at Folsom",51,393,"Subscriber",94568
"157",421797,64,2014-08-23 23:13:00,"San Francisco City Hall",58,2014-08-23 23:14:00,"San Francisco City Hall",58,66,"Customer",NA
"158",421417,97,2014-08-23 12:40:00,"Powell at Post (Union Square)",71,2014-08-23 12:41:00,"Powell at Post (Union Square)",71,614,"Customer",69004
"159",421267,62,2014-08-23 09:21:00,"Post at Kearny",47,2014-08-23 09:22:00,"Post at Kearny",47,375,"Customer",748
"160",420691,116,2014-08-22 16:27:00,"Davis at Jackson",42,2014-08-22 16:29:00,"Davis at Jackson",42,618,"Subscriber",95125
"161",419506,104,2014-08-21 20:03:00,"Embarcadero at Bryant",54,2014-08-21 20:05:00,"Embarcadero at Bryant",54,283,"Subscriber",94105
"162",419504,64,2014-08-21 20:00:00,"San Francisco Caltrain (Townsend at 4th)",70,2014-08-21 20:01:00,"San Francisco Caltrain (Townsend at 4th)",70,352,"Subscriber",94133
"163",419290,98,2014-08-21 18:09:00,"Santa Clara County Civic Center",80,2014-08-21 18:11:00,"Santa Clara County Civic Center",80,32,"Subscriber",95018
"164",419199,78,2014-08-21 17:37:00,"Embarcadero at Sansome",60,2014-08-21 17:39:00,"Embarcadero at Sansome",60,517,"Customer",93277
"165",418587,74,2014-08-21 11:41:00,"Market at 10th",67,2014-08-21 11:42:00,"Market at 10th",67,452,"Subscriber",94103
"166",417880,97,2014-08-21 07:31:00,"Ryland Park",84,2014-08-21 07:33:00,"Ryland Park",84,142,"Subscriber",95112
"167",417561,90,2014-08-20 18:56:00,"Townsend at 7th",65,2014-08-20 18:57:00,"Townsend at 7th",65,624,"Subscriber",94103
"168",417074,72,2014-08-20 16:21:00,"Embarcadero at Sansome",60,2014-08-20 16:22:00,"Embarcadero at Sansome",60,340,"Subscriber",94131
"169",416452,64,2014-08-20 08:55:00,"Steuart at Market",74,2014-08-20 08:57:00,"Steuart at Market",74,340,"Subscriber",94110
"170",414736,115,2014-08-19 09:25:00,"Powell at Post (Union Square)",71,2014-08-19 09:26:00,"Powell at Post (Union Square)",71,395,"Customer",91402
"171",412441,64,2014-08-17 22:37:00,"MLK Library",11,2014-08-17 22:38:00,"MLK Library",11,223,"Customer",95127
"172",412246,110,2014-08-17 16:37:00,"Powell Street BART",39,2014-08-17 16:39:00,"Powell Street BART",39,546,"Customer",22557
"173",412121,147,2014-08-17 14:03:00,"Embarcadero at Folsom",51,2014-08-17 14:06:00,"Embarcadero at Folsom",51,527,"Customer",94044
"174",412119,158,2014-08-17 14:00:00,"Embarcadero at Folsom",51,2014-08-17 14:02:00,"Embarcadero at Folsom",51,393,"Customer",92011
"175",412004,61,2014-08-17 11:41:00,"Powell Street BART",39,2014-08-17 11:42:00,"Powell Street BART",39,424,"Customer",NA
"176",411589,93,2014-08-16 15:16:00,"Civic Center BART (7th at Market)",72,2014-08-16 15:18:00,"Civic Center BART (7th at Market)",72,189,"Customer",NA
"177",411516,167,2014-08-16 14:02:00,"2nd at Townsend",61,2014-08-16 14:05:00,"2nd at Townsend",61,598,"Subscriber",94107
"178",411312,171,2014-08-16 09:48:00,"Spear at Folsom",49,2014-08-16 09:51:00,"Spear at Folsom",49,363,"Subscriber",94602
"179",411033,138,2014-08-15 18:17:00,"2nd at Townsend",61,2014-08-15 18:19:00,"2nd at Townsend",61,598,"Subscriber",94123
"180",410597,60,2014-08-15 15:15:00,"Broadway St at Battery St",82,2014-08-15 15:16:00,"Broadway St at Battery St",82,516,"Subscriber",94107
"181",410162,64,2014-08-15 09:26:00,"Temporary Transbay Terminal (Howard at Beale)",55,2014-08-15 09:27:00,"Temporary Transbay Terminal (Howard at Beale)",55,427,"Subscriber",94108
"182",410102,71,2014-08-15 09:05:00,"Grant Avenue at Columbus Avenue",73,2014-08-15 09:06:00,"Grant Avenue at Columbus Avenue",73,410,"Customer",NA
"183",410101,79,2014-08-15 09:05:00,"Grant Avenue at Columbus Avenue",73,2014-08-15 09:06:00,"Grant Avenue at Columbus Avenue",73,515,"Customer",NA
